state,agencies
Alaska,2
Arkansas,296
Arizona ,124
Colorado,249
Connecticut,2*
Delaware,60
Florida,698
Guam,1
Hawaii,3
Idaho,3*
Illinois,735
Indiana,70
Kansas,6
Louisiana,176
Maine,3*
Maryland,155
Massachusetts,60
Michigan,657
Minnesota,39
Mississippi,52
Missouri,637
Montana,114
Nebraska,1*
Nevada,45
North Carolina,1*
Ohio,58
Oklahoma,75
Oregon,140
Puerto Rico,1
Rhode Island,2*
South Carolina,506
South Dakota,137
Tennessee,464
Texas,"1,080"
U.S. Virgin Islands,1
Utah,145
Washington,255
Wisconsin,116
Wyoming,57
